AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,D_1,R_12,C_1,Info,Años,Giro,Puesto,Estado
3,3,3,3,4,4,5,4,4,4,4,3,8,9,4,8,2,Persona física,Dueño,Sonora
5,4,3,4,4,3,3,3,4,4,4,3,7,8,3,7,1,Educación,Director,Estado de México
5,5,4,4,4,5,3,4,5,4,5,5,8,9,4,9,3,Educación,Gerente,Sonora
4,4,3,4,4,4,4,4,5,4,4,4,8,8,4,8,3,Educación,Asistente,Sonora
5,3,3,4,3,4,4,3,5,4,4,3,8,9,4,8,10,Gubernamental,Coordinador,Hidalgo
4,3,4,3,3,4,4,3,3,4,3,2,7,9,2,8,5,Gubernamental,Asistente,Aguascalientes
5,4,3,3,4,4,3,3,4,3,4,4,8,9,4,10,2,Educación,Director,Ciudad de México
5,3,3,4,3,3,4,4,4,3,3,4,8,8,4,8,9,Teletón (Grupos internos de la Fundación),Persona física,Ciudad de México
4,4,3,3,4,4,3,3,4,3,4,4,8,9,4,10,1,Teletón (Grupos internos de la Fundación),Asistente,Ciudad de México
4,4,4,4,3,3,4,3,4,3,3,4,7,8,3,8,1,Educación,Coordinador,Estado de México
5,4,3,4,4,3,3,3,3,4,4,3,7,9,3,7,7,Educación,Coordinador,"Ciudad de México, Morelos"
5,4,4,3,3,4,4,4,3,3,4,3,7,9,4,8,2,Educación,Persona física,Guerrero
4,3,4,4,4,4,4,3,4,4,3,3,7,8,3,9,6,Educación,Coordinador,Ciudad de México
4,4,3,4,4,3,3,3,3,4,4,3,7,8,3,7,1,Gubernamental,Director,Guerrero
4,3,3,3,3,3,4,5,4,4,4,5,7,8,4,9,3,Educación,Coordinador,Ciudad de México
5,4,3,4,4,4,4,3,5,5,4,3,8,8,3,7,1,Educación,Director,Ciudad de México
4,4,4,4,3,3,2,3,3,4,4,4,9,9,4,10,1,Educación,Coordinador,Ciudad de México
